Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[1/9/1998, 0.233333, 0.233333, 0.211458, 0.213021, 0.213021,132864000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/12/1998, 0.208333, 0.219271, 0.207292, 0.215104, 0.215104,148032000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/13/1998, 0.217188, 0.233333, 0.216146, 0.232292, 0.232292,146424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/14/1998, 0.232813, 0.24375, 0.23125, 0.24375, 0.24375,170112000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/15/1998, 0.239583, 0.250521, 0.239583, 0.247656, 0.247656,120288000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/16/1998, 0.247917, 0.248958, 0.238542, 0.239583, 0.239583,51264000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/20/1998, 0.241146, 0.250521, 0.240625, 0.247656, 0.247656,109344000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/21/1998, 0.246875, 0.258333, 0.24375, 0.253646, 0.253646,174768000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/22/1998, 0.253646, 0.263542, 0.251042, 0.256771, 0.256771,189432000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/23/1998, 0.267188, 0.267188, 0.246875, 0.246875, 0.246875,182376000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/26/1998, 0.248958, 0.249479, 0.236979, 0.240625, 0.240625,94248000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/27/1998, 0.240885, 0.243229, 0.233333, 0.2375, 0.2375,82080000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/28/1998, 0.2375, 0.241667, 0.23125, 0.238542, 0.238542,105864000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/29/1998, 0.239583, 0.249479, 0.239063, 0.247917, 0.247917,96720000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[1/30/1998, 0.25, 0.253125, 0.244271, 0.245833, 0.245833,74448000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/2/1998, 0.247396, 0.260417, 0.246875, 0.259896, 0.259896,138264000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/3/1998, 0.259375, 0.2625, 0.254688, 0.257552, 0.257552,88584000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/4/1998, 0.253125, 0.259375, 0.252604, 0.253125, 0.253125,24696000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/5/1998, 0.255729, 0.255729, 0.24375, 0.246875, 0.246875,116640000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/6/1998, 0.246354, 0.251042, 0.24375, 0.245313, 0.245313,42456000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/9/1998, 0.245833, 0.247917, 0.238542, 0.242708, 0.242708,52536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/10/1998, 0.24375, 0.265885, 0.241667, 0.265104, 0.265104,245928000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/11/1998, 0.264583, 0.273177, 0.264063, 0.264583, 0.264583,129480000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/12/1998, 0.263542, 0.265104, 0.259375, 0.263021, 0.263021,60720000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/13/1998, 0.2625, 0.263542, 0.257292, 0.259375, 0.259375,168408000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/17/1998, 0.260938, 0.260938, 0.253646, 0.257292, 0.257292,47520000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/18/1998, 0.257292, 0.257292, 0.252604, 0.253646, 0.253646,59424000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/19/1998, 0.255469, 0.264583, 0.254167, 0.261458, 0.261458,88728000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/20/1998, 0.261458, 0.264583, 0.255729, 0.263542, 0.263542,54072000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/23/1998, 0.264583, 0.270833, 0.260417, 0.270313, 0.270313,79560000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/24/1998, 0.270833, 0.283854, 0.267708, 0.270313, 0.270313,278904000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/25/1998, 0.273438, 0.277083, 0.263021, 0.274479, 0.274479,134904000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[2/26/1998, 0.273177, 0.304167, 0.271875, 0.303125, 0.303125,307464000]' on port 9999. Hit CTRL-c to stop."
